Song Title,ISWC,Composer,Date,Territory,Source,Usage Count,Gross,Admin %,Net
Sunset Dreams,T-123.456.789-0,John Doe,2024-10-01,US,Spotify,15000,750.00,15,637.50
Morning Light,T-987.654.321-0,Jane Smith,2024-10-15,Global,Apple Music,8500,425.00,15,361.25
Ocean Waves,T-555.444.333-0,John Doe,2024-11-01,UK,YouTube,12000,600.00,15,510.00
Electric Nights,T-222.333.444-0,Jane Smith,2024-11-15,US,Spotify,22000,1100.00,15,935.00
Desert Sunset,T-111.222.333-0,John Doe,2024-12-01,Global,Apple Music,18500,925.00,15,786.25
Moonlight Serenade,T-666.777.888-0,Jane Smith,2024-12-10,EU,Spotify,9500,475.00,15,403.75
Urban Groove,T-999.888.777-0,John Doe,2024-12-20,US,YouTube,14000,700.00,15,595.00
Crystal Rain,T-444.555.666-0,Jane Smith,2025-01-05,Global,Apple Music,11000,550.00,15,467.50











